                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,1.3893,1.5425,1.7032,0.43867,0.51549,0.44627,0.30339,1.312,1.6662,1.7618,0.00080653,0.00080653,0.00080653
46,1.3636,1.5092,1.6923,0.40201,0.46293,0.42021,0.30397,1.1777,1.6174,1.684,0.00079238,0.00079238,0.00079238
47,1.3378,1.4892,1.7249,0.42779,0.44657,0.43281,0.3092,1.2136,1.7256,1.7317,0.00077823,0.00077823,0.00077823
48,1.3015,1.6066,1.6588,0.46404,0.43161,0.46153,0.34248,1.1104,1.592,1.6493,0.00076409,0.00076409,0.00076409
49,1.2472,1.3912,1.6219,0.43802,0.53737,0.4388,0.30596,1.1339,1.6101,1.6807,0.00074994,0.00074994,0.00074994
50,1.2232,1.368,1.6005,0.43689,0.47327,0.4424,0.31488,1.2413,1.6429,1.7339,0.00073579,0.00073579,0.00073579
51,1.2787,1.364,1.5994,0.41304,0.50546,0.46643,0.33229,1.1738,1.5551,1.6873,0.00072164,0.00072164,0.00072164
52,1.3035,1.411,1.662,0.46567,0.43591,0.45913,0.31888,1.2586,1.8309,1.7406,0.0007075,0.0007075,0.0007075
53,1.2589,1.4573,1.6408,0.40977,0.60466,0.4538,0.31823,1.1664,1.6909,1.6701,0.00069335,0.00069335,0.00069335
54,1.2766,1.3561,1.5958,0.45586,0.49146,0.48618,0.35073,1.1265,1.4209,1.6263,0.0006792,0.0006792,0.0006792
55,1.2103,1.3001,1.5648,0.38917,0.57,0.47328,0.34346,1.0568,1.478,1.5869,0.00066506,0.00066506,0.00066506
56,1.2311,1.3519,1.5969,0.52795,0.64303,0.56595,0.38933,1.0935,1.4422,1.5858,0.00065091,0.00065091,0.00065091
57,1.1704,1.3222,1.5261,0.59728,0.59764,0.58985,0.4084,1.0271,1.362,1.5255,0.00063676,0.00063676,0.00063676
58,1.1632,1.2448,1.5199,0.4795,0.53475,0.52162,0.36075,1.0718,1.3677,1.5718,0.00062262,0.00062262,0.00062262
59,1.1931,1.3018,1.5362,0.58803,0.6092,0.58203,0.38987,1.0783,1.4479,1.5996,0.00060847,0.00060847,0.00060847
60,1.1685,1.2647,1.5118,0.57235,0.61086,0.5616,0.38918,1.0732,1.3968,1.5607,0.00059432,0.00059432,0.00059432
61,1.0996,1.1544,1.4684,0.50842,0.6026,0.55309,0.39316,1.1122,1.3709,1.5966,0.00058017,0.00058017,0.00058017
62,1.1342,1.2155,1.5029,0.54577,0.57456,0.55083,0.38811,1.0944,1.335,1.6132,0.00056603,0.00056603,0.00056603
63,1.0942,1.2153,1.4831,0.79297,0.53638,0.61771,0.4199,1.0457,1.3966,1.5887,0.00055188,0.00055188,0.00055188
64,1.1223,1.2013,1.4781,0.57943,0.6678,0.61108,0.40817,1.0445,1.3071,1.5489,0.00053773,0.00053773,0.00053773
65,1.0578,1.1055,1.4435,0.61255,0.5668,0.56219,0.40664,1.0004,1.2899,1.5126,0.00052359,0.00052359,0.00052359
66,1.1345,1.1709,1.4863,0.70715,0.6394,0.6709,0.43794,1.027,1.3205,1.5433,0.00050944,0.00050944,0.00050944
67,1.1163,1.162,1.4479,0.62006,0.63561,0.61696,0.41976,1.0192,1.3367,1.5457,0.00049529,0.00049529,0.00049529
68,1.0454,1.1536,1.4462,0.61641,0.63206,0.63498,0.42382,0.96321,1.2984,1.4958,0.00048114,0.00048114,0.00048114
69,1.061,1.165,1.4323,0.56911,0.66159,0.64025,0.44177,0.98223,1.2451,1.4981,0.000467,0.000467,0.000467
70,1.008,1.0897,1.3908,0.63628,0.62585,0.66269,0.45297,0.93934,1.271,1.4962,0.00045285,0.00045285,0.00045285
71,1.0574,1.1233,1.4441,0.6967,0.66977,0.64031,0.43441,0.94565,1.2521,1.4811,0.0004387,0.0004387,0.0004387
72,1.0391,1.1137,1.4322,0.62301,0.64329,0.66624,0.45407,1.0488,1.3005,1.5289,0.00042456,0.00042456,0.00042456
73,1.0442,1.1073,1.4029,0.65639,0.71347,0.67694,0.46186,0.9855,1.2419,1.4827,0.00041041,0.00041041,0.00041041
74,1.0328,1.1005,1.416,0.7161,0.60962,0.66159,0.46662,0.96873,1.1792,1.4744,0.00039626,0.00039626,0.00039626
75,1.0362,1.0917,1.4022,0.69238,0.61368,0.65606,0.4668,0.92036,1.169,1.4317,0.00038211,0.00038211,0.00038211
76,1.0165,1.0794,1.4014,0.70277,0.66258,0.65338,0.45227,0.96352,1.3222,1.4648,0.00036797,0.00036797,0.00036797
77,0.99713,1.0705,1.385,0.68315,0.70384,0.69924,0.47822,0.92351,1.1675,1.4315,0.00035382,0.00035382,0.00035382
78,0.98276,1.0288,1.3721,0.65511,0.68664,0.68379,0.48379,0.92772,1.1991,1.4352,0.00033967,0.00033967,0.00033967
79,1.0232,1.0534,1.381,0.66471,0.69809,0.66121,0.47315,0.91628,1.211,1.4192,0.00032553,0.00032553,0.00032553
80,0.96054,1.0194,1.3341,0.67556,0.68278,0.70058,0.50094,0.88883,1.1263,1.3816,0.00031138,0.00031138,0.00031138
81,0.95481,1.0035,1.3425,0.71482,0.70253,0.70748,0.51001,0.92019,1.1396,1.4194,0.00029723,0.00029723,0.00029723
82,0.95459,1.008,1.3606,0.7578,0.67276,0.71975,0.51782,0.87807,1.1244,1.3976,0.00028308,0.00028308,0.00028308
83,0.95249,0.96526,1.3374,0.70545,0.69924,0.70202,0.49643,0.88386,1.125,1.4073,0.00026894,0.00026894,0.00026894
84,0.96347,0.98529,1.3662,0.71248,0.67942,0.69311,0.50025,0.92021,1.1894,1.4342,0.00025479,0.00025479,0.00025479
85,0.98686,1.0479,1.3753,0.63056,0.75578,0.69143,0.50015,0.90181,1.1022,1.4132,0.00024064,0.00024064,0.00024064
86,0.96588,0.97824,1.3433,0.66529,0.72588,0.69422,0.50464,0.90804,1.1211,1.4062,0.0002265,0.0002265,0.0002265
87,0.96801,0.97591,1.35,0.67705,0.70154,0.67966,0.49194,0.88953,1.1479,1.414,0.00021235,0.00021235,0.00021235
